ID;Venta;Campana;Edad;Masculino;Capital;Oferta;NSE;Actividad;Empleador;Jubilado;Cant_bcos;Monto_Bcos;Banc_12m;Banc_13_24;Banco_1
6373;0;1;38;1;0;34300;D1;Informal;0;0;1;68000;11;12;Bco Hipotecario
6374;0;1;40;1;0;108100;C2;Autonomo;0;0;1;309000;11;12;Bco Santander Rio
6375;1;1;40;1;0;73500;C2;Autonomo;0;0;1;2000;1;0;Bco Cordoba
6377;0;1;39;1;0;89100;C2;Autonomo;0;0;1;1000;7;12;Naranja
6378;1;1;40;1;0;103000;C1;Monotributo D;0;0;1;3000;9;12;Naranja
6379;0;1;40;1;0;144500;C1;Informal;0;0;1;32000;11;12;Bco Credicoop
6380;1;1;40;1;0;144500;C1;Empleado;0;0;1;18000;11;12;Bco Patagonia
6381;0;1;40;1;0;144500;C1;Autonomo;0;0;1;2202;3;9;Bco Galicia
6383;1;1;39;1;0;103000;C2;Monotributo D;0;0;1;51000;5;0;Financiera
6384;1;1;40;1;0;108100;C2;Autonomo;0;0;1;19000;8;6;Bco Macro
6385;1;1;39;1;0;25900;C3;Monotributo A;0;0;0;0;0;0;0
6386;0;1;40;1;0;89100;C2;Empleado;0;0;1;70000;10;12;Naranja
6387;0;1;39;1;1;63600;C3;Empleado;0;0;1;83000;10;12;Naranja
6389;0;1;39;1;0;144500;C1;Empleado;0;0;1;105000;11;12;Bco Santander Rio
6390;1;1;39;1;0;77100;C2;Monotributo D;0;0;0;0;0;0;0
6391;1;1;40;1;0;89100;C2;Empleado;0;0;1;36000;11;12;Bco Macro
6392;1;1;40;1;0;63600;C3;Informal;0;0;1;19000;11;12;Financiera
6393;1;1;40;1;0;213000;C3;Monotributo H;0;0;0;0;0;0;0
6394;1;1;39;1;0;103000;C3;Monotributo E;0;0;0;0;0;0;0
6395;1;1;39;1;0;77100;C2;Monotributo D;0;0;0;0;0;0;0
6396;0;1;40;1;0;108100;C2;Empleado;0;0;1;5000;10;11;Naranja
6397;0;1;40;1;0;511100;A;Autonomo;0;0;1;1000;10;12;Bco Nacion
6398;0;1;40;1;0;213000;C1;Empleado;0;0;1;2805;11;12;Bco Galicia
6399;1;1;39;1;0;213000;B;Monotributo H;0;0;0;0;0;0;0
6400;1;1;40;1;0;213000;B;Monotributo H;0;0;0;0;0;0;0
6401;0;1;39;1;0;213000;C1;Empleado;0;0;1;85000;11;12;Bco Santander Rio
6402;1;1;39;1;0;63600;C3;Empleado;0;0;1;4000;9;11;Financiera
6403;1;1;39;1;0;50000;C2;Monotributo C;0;0;0;0;0;0;0
6404;1;1;39;1;0;125000;C2;Monotributo F;0;0;0;0;0;0;0
6405;0;1;40;1;0;213000;C1;Empleado;0;0;1;54000;11;8;Bco Macro
6407;0;1;40;1;0;329900;B;Empleado;0;0;1;61000;11;12;Bco Santander Rio
6408;0;1;39;1;1;52500;C3;Empleado;0;0;1;60000;10;12;Naranja
6409;0;1;40;1;0;329900;B;Empleado;0;0;1;192000;11;12;ICBC
6411;0;1;39;1;0;34300;D1;Informal;0;0;1;1000;4;10;Bco Nacion
6412;1;1;40;1;0;103000;C2;Monotributo D;0;0;1;137000;10;0;Bco Nacion
6414;1;1;39;1;0;108100;C2;Autonomo;0;0;1;57000;11;12;Bco Macro
6415;0;1;39;1;0;144500;C1;Informal;0;0;1;93000;11;12;Bco Macro
6416;1;1;39;1;0;108100;C2;Empleado;0;0;1;1000;10;10;Naranja
6417;0;1;40;1;1;213000;C1;Autonomo;0;0;1;1885;11;12;Bco Galicia
6418;0;1;39;1;0;52500;C3;Empleado;0;0;1;39000;3;0;Naranja
6419;0;1;40;1;1;213000;C1;Empleado;0;0;1;219000;11;12;Bco Santander Rio
6420;0;1;40;1;0;213000;C1;Autonomo;0;0;1;76000;11;12;Bco Santander Rio
6422;0;1;40;1;0;213000;C1;Autonomo;0;0;1;66000;9;12;Naranja
6423;0;1;40;1;0;108100;C1;Empleado;0;0;1;170386;11;12;Bco Galicia
6424;0;1;40;1;1;108100;C2;Empleado;0;0;1;93000;11;12;Bco Macro
6425;1;1;41;1;1;73500;C2;Empleado;0;0;1;27000;8;0;Financiera
6427;0;1;40;1;1;144500;C1;Empleado;0;0;1;13000;10;12;Naranja
6428;0;1;39;1;1;108100;C1;Empleado;0;0;1;193970;11;12;Bco Galicia
6429;1;1;39;1;0;89100;C2;Autonomo;0;0;1;5000;1;4;Naranja
6430;1;1;39;1;0;37700;C3;Monotributo B;0;0;0;0;0;0;0
6431;1;1;39;1;0;37700;C2;Monotributo B;0;0;1;4000;10;0;ICBC
6432;1;1;39;1;0;213000;C1;Autonomo;0;0;1;14000;11;12;Bco Hipotecario
6433;0;1;39;1;0;329900;B;Empleado;0;0;1;68000;11;12;Bco Santander Rio
6434;1;1;39;1;0;108100;C2;Empleado;0;0;1;144000;11;12;Bco Macro
6435;1;1;39;1;0;73500;C2;Empleado;0;0;1;49000;10;8;Naranja
6436;1;1;39;1;0;213000;C1;Empleado;0;0;1;4000;9;12;Bco Nacion
6438;0;1;40;1;0;329900;B;Empleado;0;0;1;212676;11;12;Bco Galicia
6439;0;1;39;1;0;511100;A;Empleado;0;0;1;61000;10;12;Naranja
6440;0;1;39;1;0;144500;C1;Empleado;0;0;1;43000;11;12;Bco Macro
6441;0;1;40;1;1;213000;C1;Empleado;0;0;1;12000;10;10;Bco Sgo del Estero
6442;0;1;39;1;0;89100;C2;Empleado;0;0;1;81000;11;12;Bco Santander Rio
6443;1;1;39;1;0;108100;C2;Autonomo;0;0;1;50000;10;10;Bco Hipotecario
6444;0;1;39;1;0;63600;C3;Empleado;0;0;1;212000;11;7;BBVA SA
6445;0;1;39;1;0;89100;C2;Autonomo;0;0;1;260000;11;9;Bco De la Pampa
6446;1;1;40;1;0;103000;C1;Monotributo E;0;0;0;0;0;0;0
6447;1;1;39;1;0;50000;C3;Monotributo B;0;0;0;0;3;0;0
6448;0;1;39;1;0;63600;C3;Empleado;0;0;1;50000;9;0;BBVA SA
6449;0;1;39;1;0;108100;C2;Autonomo;0;0;1;5000;11;12;Bco Nacion
6450;0;1;40;1;0;63600;C3;Empleado;0;0;0;0;0;10;0
6451;0;1;40;1;0;511100;A;Empleado;0;0;1;19000;9;11;Bco Santander Rio
6452;1;1;39;1;0;73500;C2;Autonomo;0;0;1;1000;5;2;Bco Cordoba
6453;1;1;38;1;0;50000;C3;Monotributo B;0;0;1;2000;9;8;Naranja
6454;1;1;39;1;0;108100;C2;Autonomo;0;0;1;37000;11;12;Bco Macro
6457;1;1;39;1;0;77100;C3;Monotributo D;0;0;0;0;0;0;0
6459;0;1;39;1;0;213000;C1;Empleado;0;0;1;43000;11;12;Bco Hipotecario
6460;1;1;38;1;0;63600;C3;Empleado;0;0;1;42000;10;12;Naranja
6461;1;1;40;1;0;103000;C2;Monotributo D;0;0;1;163553;10;12;Bco Galicia
6462;0;1;39;1;0;89100;C2;Empleado;0;0;1;42000;10;12;Naranja
6463;1;1;39;1;0;50000;C3;Monotributo B;0;0;1;25000;10;12;Naranja
6464;0;1;39;1;0;213000;C1;Empleado;0;0;1;15721;11;12;Bco Galicia
6465;0;1;39;1;0;108100;C2;Empleado;0;0;0;0;0;8;0
6466;0;1;40;1;0;34300;D1;Informal;0;0;1;57000;10;12;Naranja
6467;1;1;40;1;0;37700;C3;Monotributo B;0;0;0;0;0;0;0
6468;1;1;40;1;0;66700;C2;Monotributo C;0;0;1;16000;11;12;Bco Macro
6469;0;1;39;1;0;63600;C3;Empleado;0;0;1;91000;11;12;Bco Nacion
6470;0;1;39;1;0;89100;C2;Empleado;0;0;1;50000;10;12;Naranja
6471;0;1;39;1;0;213000;C1;Autonomo;0;0;1;11006;11;12;Bco Galicia
6472;0;1;39;1;0;108100;C2;Empleado;0;0;1;55000;9;5;Bco Patagonia
6473;0;1;39;1;0;329900;B;Empleado;0;0;1;566000;11;12;Bco Santander Rio
6474;1;1;38;1;0;103000;C2;Monotributo E;0;0;0;0;0;0;0
6475;0;1;39;1;0;144500;C1;Empleado;0;0;1;50797;11;12;Bco Galicia
6476;0;1;40;1;0;511100;A;Empleado;0;0;1;225000;11;12;Bco Santander Rio
6477;1;1;39;1;0;50000;C1;Monotributo B;0;0;1;13000;10;12;Naranja
6479;1;1;39;1;0;89100;C2;Empleado;0;0;1;52000;11;7;Bco Macro
6480;1;1;39;1;0;66700;C2;Monotributo C;0;0;1;49000;10;0;Bco Credicoop
6481;1;1;39;1;0;329900;B;Empleado;0;0;1;216033;11;12;Bco Galicia
6482;1;1;39;1;0;125000;C1;Monotributo F;0;0;0;0;0;0;0
6483;0;1;39;1;0;73500;C2;Informal;0;0;1;35000;10;12;Naranja
6484;1;1;39;1;0;34300;D1;Informal;0;0;1;14000;11;12;Bco Santander Rio
6486;1;1;39;1;0;77100;C3;Monotributo D;0;0;0;0;0;0;0
6487;0;1;39;1;0;213000;C1;Autonomo;0;0;1;35000;11;5;Bco Macro
6488;1;1;39;1;0;103000;C2;Monotributo D;0;0;1;20000;11;0;Nvo Santa Fe
6489;0;1;39;1;1;213000;C1;Empleado;0;0;1;22000;11;9;Bco Hipotecario
6490;1;1;39;1;0;63600;C3;Empleado;0;0;1;7000;11;12;Bco Macro
6491;1;1;39;1;0;89100;C2;Empleado;0;0;1;86000;11;12;Bco Macro
6492;1;1;39;1;0;77100;C2;Monotributo D;0;0;0;0;0;0;0
6493;1;1;39;1;0;89100;C2;Empleado;0;0;1;34000;11;12;Bco Santander Rio
6494;0;1;39;1;0;108100;C2;Empleado;0;0;1;41000;8;7;Bco Macro
6495;1;1;39;1;0;63600;C3;Empleado;0;0;1;2000;6;9;Naranja
6497;1;1;39;1;0;125000;C1;Monotributo F;0;0;0;0;0;0;0
6498;1;1;39;1;1;73500;C2;Empleado;0;0;1;15000;11;12;Bco Hipotecario
6499;0;1;39;1;1;52500;C3;Empleado;0;0;1;22000;10;12;Naranja
6502;0;1;39;1;1;34300;D1;Informal;0;0;1;6000;10;12;Naranja
6503;0;1;40;1;1;108100;C1;Empleado;0;0;1;111000;11;12;Bco Santander Rio
6504;1;1;39;1;0;50000;C2;Monotributo B;0;0;1;7000;11;12;Bco Nacion
6506;0;1;39;1;1;108100;C2;Empleado;0;0;1;18000;10;12;Naranja
6507;0;1;39;1;1;144500;C1;Empleado;0;0;1;36000;10;2;Bco Patagonia
6508;0;1;39;1;0;213000;C1;Empleado;0;0;1;97000;11;12;Bco Macro
